epoch,accuracy,loss,val_accuracy,val_loss
0,0.8294184803962708,0.08638443052768707,0.8664597868919373,0.07922640442848206
1,0.8703405261039734,0.061257436871528625,0.8632898330688477,0.06069324538111687
2,0.8785723447799683,0.05128851905465126,0.8711691498756409,0.0529288686811924
3,0.8783231973648071,0.04213285073637962,0.86541748046875,0.04871062561869621
4,0.8801075220108032,0.034039389342069626,0.8799161911010742,0.03759763017296791
5,0.8879241943359375,0.02823544666171074,0.8507280349731445,0.03408119082450867
6,0.8942206501960754,0.024142654612660408,0.8879862427711487,0.026451384648680687
7,0.9028587937355042,0.02090732380747795,0.9135584831237793,0.023751944303512573
8,0.9118032455444336,0.018471460789442062,0.9074226021766663,0.03011438250541687
9,0.9171048402786255,0.01659192331135273,0.8967494368553162,0.029184535145759583
10,0.9226653575897217,0.015009748749434948,0.9216822385787964,0.01974983513355255
11,0.9282345771789551,0.01353081502020359,0.8906860947608948,0.018416494131088257
12,0.9323232173919678,0.01255277544260025,0.9471873044967651,0.015600332990288734
13,0.9377410411834717,0.0115060368552804,0.938351571559906,0.015492410399019718
14,0.9414651393890381,0.010747306980192661,0.9463706016540527,0.012146010994911194
15,0.9439666271209717,0.010126673616468906,0.9446727633476257,0.012517646886408329
16,0.9470093846321106,0.0096191531047225,0.9599210023880005,0.013342651538550854
17,0.9504208564758301,0.009193741716444492,0.8708440661430359,0.01294678170233965
18,0.9530044794082642,0.00879052933305502,0.9456775188446045,0.013416586443781853
19,0.954765260219574,0.008421014063060284,0.9603803753852844,0.009749137796461582
20,0.958012044429779,0.008090847171843052,0.9363770484924316,0.011816324666142464
21,0.9593828320503235,0.00782734900712967,0.9363958835601807,0.009508402086794376
22,0.9619052410125732,0.007585643325001001,0.9710697531700134,0.010089860297739506
23,0.9629983305931091,0.007394359912723303,0.9709864854812622,0.009282140992581844
24,0.9655331969261169,0.007165683899074793,0.980663001537323,0.008959508500993252
