epoch,accuracy,loss,val_accuracy,val_loss
0,0.8358336687088013,0.08672220259904861,0.8796851634979248,0.0741804838180542
1,0.8783783316612244,0.058382585644721985,0.8928594589233398,0.05757230892777443
2,0.8870024681091309,0.04686881601810455,0.8800666332244873,0.045608676970005035
3,0.8914823532104492,0.038809634745121,0.8850660920143127,0.04271504282951355
4,0.8923965692520142,0.0322820208966732,0.888002336025238,0.03294295445084572
5,0.8952096700668335,0.0273013636469841,0.9012357592582703,0.028224868699908257
6,0.9002680778503418,0.023612122982740402,0.8689178824424744,0.024903180077672005
7,0.9065588712692261,0.020537901669740677,0.9042848944664001,0.021718870848417282
8,0.9130213260650635,0.018160512670874596,0.9065441489219666,0.01873478665947914
9,0.9185337424278259,0.016325267031788826,0.9077450037002563,0.017282379791140556
10,0.9233109354972839,0.0148570965975523,0.9150333404541016,0.016402754932641983
11,0.9280598163604736,0.013644679449498653,0.919447124004364,0.01572844199836254
12,0.9327024221420288,0.012521144933998585,0.9419353008270264,0.014373797923326492
13,0.9361502528190613,0.011596097610890865,0.9260128140449524,0.012814044021070004
14,0.9406644701957703,0.010885798372328281,0.9051203727722168,0.011839470826089382
15,0.9434666633605957,0.010314845480024815,0.9432328343391418,0.0109743382781744
16,0.9463149905204773,0.00985146127641201,0.9369949698448181,0.011634315364062786
17,0.9494909644126892,0.009418199770152569,0.9237373471260071,0.010070012882351875
18,0.9508720636367798,0.009034860879182816,0.9276004433631897,0.011107556521892548
19,0.9536168575286865,0.008674202486872673,0.9361540675163269,0.008825251832604408
20,0.9555474519729614,0.008385865949094296,0.9527804851531982,0.0100670475512743
21,0.9579744338989258,0.00810876302421093,0.9494277834892273,0.00902974046766758
22,0.9583585858345032,0.007898845709860325,0.9752686619758606,0.009515625424683094
23,0.9613009095191956,0.007670033723115921,0.9696539640426636,0.007901371456682682
24,0.9625021815299988,0.00749210873618722,0.9469965696334839,0.008568714372813702
25,0.9641718864440918,0.0073077441193163395,0.9642569422721863,0.00790049321949482
26,0.9649083614349365,0.007163285277783871,0.9657344818115234,0.00884901825338602
27,0.9662989377975464,0.0070032523944973946,0.9746829867362976,0.007593228481709957
28,0.9671201705932617,0.0068334853276610374,0.9687943458557129,0.00893837958574295
29,0.969144344329834,0.006699998863041401,0.9767032265663147,0.007535581011325121
30,0.9694274067878723,0.006550859659910202,0.9565038681030273,0.007359867449849844
31,0.9703035950660706,0.006426829379051924,0.9822050333023071,0.007525261025875807
32,0.971741259098053,0.0062270937487483025,0.9712738990783691,0.007339992560446262
33,0.9718833565711975,0.006076300982385874,0.9777697324752808,0.007482974790036678
34,0.9727499485015869,0.005980593618005514,0.9720744490623474,0.006764845922589302
35,0.9734483957290649,0.0058816117234528065,0.9874328374862671,0.006210337858647108
36,0.9737461805343628,0.005756615195423365,0.9787368178367615,0.006520187482237816
37,0.9751436710357666,0.005678320303559303,0.9865275025367737,0.007321056444197893
38,0.9751425385475159,0.005589335225522518,0.9762895107269287,0.006382201798260212
39,0.9763604998588562,0.005527338478714228,0.9794594645500183,0.005951832048594952
40,0.97614586353302,0.005455292761325836,0.9794406890869141,0.005978505127131939
41,0.9767982363700867,0.005381396040320396,0.982946515083313,0.005542533937841654
42,0.9768470525741577,0.005318811628967524,0.973890483379364,0.006373753771185875
43,0.9777904152870178,0.005253548733890057,0.9776246547698975,0.005631590262055397
44,0.9783284068107605,0.005187172442674637,0.9811734557151794,0.006325183901935816
45,0.9789342284202576,0.005115455016493797,0.976722002029419,0.0053218393586575985
0,0.9787688255310059,0.00507236598059535,0.9788872599601746,0.005685385316610336
1,0.9793531894683838,0.005006821826100349,0.9802708029747009,0.005144482012838125
2,0.979547917842865,0.00494287209585309,0.9802358746528625,0.005263549741357565
3,0.9802491664886475,0.004869066644459963,0.9698312878608704,0.005070709157735109
4,0.980198860168457,0.004765719175338745,0.9779469966888428,0.005798889324069023
5,0.980614960193634,0.0046976469457149506,0.9741833209991455,0.005277646239846945
6,0.9811211824417114,0.004667668603360653,0.9907076358795166,0.005299558397382498
7,0.988389790058136,0.0035326906945556402,0.9915242791175842,0.003423721995204687
8,0.9880959987640381,0.003553148591890931,0.9910407066345215,0.0032030483707785606
9,0.9884097576141357,0.003521440550684929,0.9883354902267456,0.0033268628176301718
10,0.9884627461433411,0.003498263191431761,0.9896733164787292,0.003367125056684017
11,0.9886094927787781,0.003468052251264453,0.9827020168304443,0.0033214823342859745
12,0.9887875318527222,0.003440686734393239,0.9909923672676086,0.003303398145362735
13,0.9888331890106201,0.0034219243098050356,0.9889023303985596,0.003197844373062253
14,0.9907026886940002,0.002965283812955022,0.9933967590332031,0.002419938100501895
15,0.990760087966919,0.0029636395629495382,0.9934155344963074,0.0024507150519639254
16,0.9908064603805542,0.0029532720800489187,0.9935472011566162,0.002396946307271719
17,0.9908596277236938,0.0029399183113127947,0.9937137365341187,0.002362471306696534
18,0.9908888936042786,0.0029271214734762907,0.9936627149581909,0.002347959904000163
19,0.9909711480140686,0.0029117746744304895,0.9931764602661133,0.0023811159189790487
20,0.9913946390151978,0.0027339726220816374,0.9941919445991516,0.0021147718653082848
21,0.991389811038971,0.0027278847992420197,0.9942939877510071,0.0021145169157534838
22,0.9914321303367615,0.002719785552471876,0.9940925240516663,0.0021046933252364397
23,0.991447925567627,0.002711247419938445,0.9943960905075073,0.0020811723079532385
24,0.9914706945419312,0.0027028582990169525,0.9941999912261963,0.0020675358828157187
