epoch,accuracy,loss,val_accuracy,val_loss
0,0.8376259803771973,0.08652947843074799,0.9262438416481018,0.07957050949335098
1,0.8685954809188843,0.05977697670459747,0.9010127782821655,0.06303958594799042
2,0.8764984011650085,0.048807065933942795,0.9115597605705261,0.053385961800813675
3,0.8779138326644897,0.0391295962035656,0.8912206888198853,0.05216939374804497
4,0.8847945332527161,0.03190037980675697,0.9120433330535889,0.03952055051922798
5,0.8895508050918579,0.025865662842988968,0.9029899835586548,0.041219547390937805
6,0.8965133428573608,0.021421240642666817,0.9048839211463928,0.025686923414468765
7,0.9059596657752991,0.018384603783488274,0.8843944668769836,0.02574017643928528
8,0.9141766428947449,0.01625213772058487,0.9265635013580322,0.03246641531586647
9,0.9204047918319702,0.014599700458347797,0.9361863136291504,0.018559712916612625
10,0.9260036945343018,0.013306218199431896,0.9492531418800354,0.019514551386237144
11,0.9326697587966919,0.012286747805774212,0.9431764483451843,0.015542726963758469
12,0.935526430606842,0.011448360979557037,0.9384241104125977,0.02158091403543949
13,0.9408734440803528,0.010775737464427948,0.9188238978385925,0.01450588833540678
14,0.9421640634536743,0.01017395406961441,0.9145578145980835,0.0166915375739336
15,0.9467788934707642,0.009674560278654099,0.9660568237304688,0.013485901989042759
16,0.94996178150177,0.00926568266004324,0.9340962767601013,0.017098328098654747
17,0.9516482949256897,0.00889963936060667,0.9539060592651367,0.01048252359032631
18,0.9535748958587646,0.008598758839070797,0.9071271419525146,0.01736311800777912
19,0.956486701965332,0.008320086635649204,0.9340183734893799,0.011324435472488403
20,0.957423985004425,0.008105084300041199,0.9494331479072571,0.009811396710574627
21,0.9591298699378967,0.007850256748497486,0.9435068964958191,0.009946330450475216
22,0.9610772728919983,0.007653776090592146,0.9578336477279663,0.013042326085269451
23,0.9618433117866516,0.007453578524291515,0.9739146828651428,0.008740688674151897
24,0.9630488157272339,0.007277475204318762,0.9363851547241211,0.014276894740760326
25,0.9654982686042786,0.0070779817178845406,0.962846577167511,0.007709217257797718
26,0.9660297632217407,0.006903537083417177,0.9699602127075195,0.01256195642054081
27,0.966576099395752,0.006783066783100367,0.9193611741065979,0.008239572867751122
28,0.9688302874565125,0.0066620600409805775,0.9596792459487915,0.009272691793739796
29,0.9697303771972656,0.006515508517622948,0.9627014994621277,0.007251424714922905
30,0.9699556231498718,0.006399007048457861,0.9586288332939148,0.008402791805565357
31,0.9693512916564941,0.006254906766116619,0.9600822329521179,0.011149328202009201
32,0.9724259972572327,0.006105826701968908,0.9129244685173035,0.00829766783863306
33,0.9728969931602478,0.005867898464202881,0.9465049505233765,0.010723937302827835
34,0.9745581746101379,0.005760515574365854,0.89960777759552,0.008481035009026527
35,0.9861337542533875,0.004218500107526779,0.9734176993370056,0.004737198352813721
36,0.9860810041427612,0.004254739265888929,0.9797630310058594,0.004743445664644241
37,0.9859793782234192,0.004239899571985006,0.9744626879692078,0.0045448606833815575
38,0.9866074323654175,0.004183912184089422,0.9793950319290161,0.005097926128655672
39,0.986690104007721,0.0041245361790061,0.9731678366661072,0.004416286014020443
40,0.9870129227638245,0.00409227330237627,0.981793999671936,0.004365378525108099
41,0.98734050989151,0.004049317911267281,0.9659816026687622,0.004488731734454632
42,0.987375020980835,0.004022616893053055,0.9877740144729614,0.005766632501035929
43,0.9875227808952332,0.003994480706751347,0.9768590331077576,0.004308460280299187
44,0.9876917600631714,0.003946094308048487,0.9770927429199219,0.0045822495594620705
45,0.9876210689544678,0.0039294627495110035,0.9651864171028137,0.004475995432585478
0,0.9879056811332703,0.0038978103548288345,0.983252763748169,0.004889711271971464
1,0.9879332184791565,0.0038683812599629164,0.9643644094467163,0.00451261829584837
2,0.9881237149238586,0.0038506442215293646,0.9853320717811584,0.005899781361222267
3,0.9883207678794861,0.003828906686976552,0.9574897885322571,0.004567480646073818
4,0.9882943630218506,0.003799658501520753,0.9903556704521179,0.004437242168933153
5,0.9883626699447632,0.0037698715459555387,0.96319580078125,0.004564332775771618
6,0.9886447191238403,0.003738782135769725,0.9869251251220703,0.005393895320594311
7,0.9910097718238831,0.003109447890892625,0.9909064173698425,0.002907178830355406
8,0.9910048246383667,0.0031301197595894337,0.9925370812416077,0.002949266228824854
9,0.9909965991973877,0.0031219711527228355,0.9901407957077026,0.0029377287719398737
10,0.9910767674446106,0.003108629724010825,0.9935203194618225,0.002937974641099572
11,0.9911454916000366,0.0030946028418838978,0.9918708205223083,0.0028356602415442467
12,0.9911897778511047,0.0030814013443887234,0.992222785949707,0.0031764721497893333
13,0.9917247891426086,0.0028352125082165003,0.9934316277503967,0.002198190428316593
14,0.9917778372764587,0.0028352998197078705,0.9938749074935913,0.0023355549201369286
15,0.9917895793914795,0.0028300604317337275,0.9930287003517151,0.0022457842715084553
16,0.991837203502655,0.0028216559439897537,0.9939125180244446,0.0023929672315716743
17,0.9918393492698669,0.002812505466863513,0.9926713705062866,0.0022629527375102043
